"order","publish","category","cat2","cat3","detail","channel","abstract","videoID","description"
"62","yes","Sciences appliquées / Médecine / Diagnostic","","","Examen clinique","Primum Non Nocere","Ou pourquoi les médecins nous font dire 33","oALX8wKUTdA","Pourquoi le médecin vous fait-il dire 33 ? quelle est le but de cette manœuvre et pourquoi toujours 33 ?"
"63","yes","Sciences appliquées / Médecine / Diagnostic","","","Réflexes","Primum Non Nocere","Ou pourquoi les médecins utilisent un marteau à réflexe","kuLv7BYiKiQ","Continuons de plonger dans les petits secrets des médecins et de leur examen."
"64","yes","Sciences appliquées / Médecine / Diagnostic","","","Caca","Primum Non Nocere","Ou quelle couleur devrait avoir votre caca","M39r6Zm44ZM","Dernier épisode de Primum Non Nocere avant les vacances. Si vous voulez savoir quelle est la véritable couleur de votre caca. Si vous voulez connaitre le lien entre un poussin, de la bière et du mastic. Cet épisode est fait pour vous ! Aujourd'hui, je vais m’intéresser au cycle de la bilirubine, produit de la dégradation de l’hémoglobine."
"65","yes","Sciences appliquées / Médecine / Physiologie","","","Hydrocution","Primum Non Nocere","Explication du phénomène de l'hydrocution et lien avec les repas","N3mQl9zk4po","Au plein cœur de l'été et alors que vous êtes peut être au bord de la mer, proche d'une piscine ou de tout autre point d'eau, je vais tenter de répondre à cette question : - Peut on se baigner après manger ? Pourquoi s'en inquiéter ? Quelles en sont les conséquences ? Bref revoyons ensemble si nos grand-mères ont raisons de nous le rappeler depuis que nous sommes petit !"
"66","yes","Sciences appliquées / Médecine / Physiologie","Divertissement / Cinéma","","Arrêt cardiaque","Primum Non Nocere","Présentation du fonctionnement du coeur, de l'arrêt cardiaque et du défibrillateur","mN_T8YaXnZg","Pour cet épisode 10 on va s'attaquer au cinéma et à ses clichés. A un cliché en particulier : la gestion de l'arrêt cardiaque ! A quoi correspond le tracés plat ? A quoi sert le défibrillateur ? Peut-on relancer un coeur avec un choc éléctrique ? On va essayer de repondre à ces differentes questions et vous pourriez être surpris. Chargez à 300, on dégage !"
"67","yes","Sciences appliquées / Médecine / Anesthésie, réanimation","","","Anesthésie","Primum Non Nocere","Ou pourquoi il est nécessaire de rester à jeun avec une anesthésie","wYD1qBhGtlk","Peut-être avez vous eu ou allez vous avoir une anesthésie générale ? Les patients devant avoir une anesthésie générale doivent rester à jeun ! Pourquoi ? C'est la question du jour. Drogue, altération de la conscience, poisons mortels et roi de la pop il y aura tout ça dans cet épisode. Enjoie"
"68","yes","Sciences appliquées / Médecine / Traitements, drogues","","","Dopage","Primum Non Nocere","Ou comment fonctionnent les produits dopants","ENpdqTnx6jE","Sortez les chronos et calez vous dans les starting blocks, aujourd'hui on va lever une partie du voile sur le dopage. Et en plus ça parle de Russie Anabolisant, stimulant et autres EPOs, on va répondre à cette question que vous vous etiez probablement jamais posée, c'est quoi le dopage ?"
"69","yes","Sciences appliquées / Médecine / Maladies","","","Migraine","Primum Non Nocere","Présentation de la migraine","DfVAFNx9G6E","Je vous souhaite à toutes et à tous une très bonne Saint valentin. En ce 14 février, voilà le 14ème PNN. Aujourd'hui on s'attaque à un bon vieux cliché : Pas ce soir chéri, j'ai la migraine ! On va parler de Migraine et de Sexe."
"70","yes","Sciences appliquées / Médecine / Physiologie","","","Oedème aigu du poumon","Primum Non Nocere","Que fait l'eau dans le corps humain et que se passe-t-il quand on mange du sel ?","PTJUzy0C8ag","Ultime épisode de Primum Non Nocere pour 2015. Le sujet du jour, Fruit de mer et Grand-Mère une affaire de cœur. Et vous allez voir il est un peu plus salé que la moyenne."
"71","yes","Sciences appliquées / Médecine / Sport","","","Courbatures","Primum Non Nocere","Que sont les courbatures et peut-on les éviter ?","O0es_qU7eh0","Sortez vos baskets, mettez vos plus beaux shorts et préparez vous ! On va s'attaquer au cas des courbatures. Après une séance de sport, vous savez qu'elles vont venir. Elles se cachent dans l'ombre, fourbes qu'elles sont. Pourquoi sont-elles aussi méchantes ? Aujourd'hui vous saurez tout ... ou à peu près ! Enjoie"
"72","yes","Sciences appliquées / Médecine / Maladies","","","SIDA","Primum Non Nocere","Présentation du VIH et du SIDA","rxIqD5fKdxk","Que savez vous du VIH ? Que savez vous du SIDA ? Existe-t-il une différence ? C'est ce que nous allons tenter de voir dans ce nouvel épisode de PNN."
"73","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Maladies","","Bioterrorisme","Primum Non Nocere","Présentation de quatre maladies dévastatrices et de leur utilisation volontaire dans l'histoire","xjBK1xeq0Xc","Et si aujourd'hui on parlait maladie mortelle, terrorisme et histoire ? Tout ce que vous avez toujours voulu savoir sur le bioterrorisme sans jamais le demander !"
"74","yes","Sciences appliquées / Médecine / Traitements, drogues","","","Automédication","Primum Non Nocere","Présentation des antalgiques et anti-inflammatoires majoritairement utilisés en automédication","qCg6if1KZvQ","Pour le retour dans le Game je vous propose une vidéo sur l'automédication ! Quoi ? Quand ? Comment ? Pourquoi et pourquoi pas ? Vous en saurez un peu plus. Enjoie"
"75","yes","Sciences appliquées / Médecine / Nutrition","","","Nutrition","Primum Non Nocere","Comment fonctionnent les régimes et pourquoi regrossit-on à la fin d'un régime ? ","Np-e2KUO3Po","Les régimes fonctionnent ils ? Pourquoi regrossit on aussi facilement après ? C'est ce que l'on va voir dans ce nouvel épisode."
"76","yes","Sciences appliquées / Médecine / Sport","","","Essouflement","Primum Non Nocere","Ou pourquoi est-on essouflé pendant mais aussi après un exercice physique ?","YYqjdOtyneg","Vous vous êtes déjà demandé pourquoi on était essoufflé après un effort physique ? Parce que ""pendant""on comprend mais pourquoi ""après"" ?"
"77","yes","Sciences appliquées / Médecine / Maladies","","","Cancer","Primum Non Nocere","Que sont les cancers et comment sont-ils traités ?","7opE3nKPIxQ","Le Cancer... On en dit des choses sur le cancer... Certaines sont justes, d'autres approximatives et beaucoup sont complètement fausses. Aujourd'hui on va faire un petit tour de la question à travers 6 affirmations Bullshit au sujet du cancer."
"78","yes","Sciences appliquées / Médecine / Maladies / Vaccination","","","Vaccination","Primum Non Nocere","Ou de quoi nous protègent les vaccins ?","1CifyVPCZ10","On a oublié… On a oublié les maladies dont le calendrier vaccinal protège. Donc aujourd’hui très long épisode ou l’on passe par le menu les 11 maladies et germes du calendrier vaccinal."
"79","yes","Sciences appliquées / Médecine / Obstétrique","","","Grossesse","Primum Non Nocere","Qu'est-ce que la grossesse et qu'est-ce qu'il peut se passer durant une grossesse ?","HH25RM4K0lM","Peut-on tomber enceinte en avalant du sperme ? une grossesse peut-elle se transformer en cancer ? et la sodomie dans tout ça ? Dans ce nouvel épisode on va s’intéresser à 7 choses que vous ne voulez pas savoir sur la grossesse !"
"80","yes","Sciences appliquées / Médecine / Diagnostic","","","Réflexes","Primum Non Nocere","Présentation de quelques réflexes du corps humain","AYkpRmTB57A","Les réflexes qui sont des réactions involontaires du corps à un stimulus. On va donc vous présenter 10 réflexes qui ont particulièrement retenus notre attention pour leur intérêt médical, évolutif ou juste ludique."
"81","yes","Sciences appliquées / Médecine / Anesthésie, réanimation","","","Arrêt cardiaque","Primum Non Nocere","Ou comment faire un bon massage cardiaque","hwfKnk5yQFw","Dans ce deuxième épisode de Pour Aller Plus Loin, vous saurez tout ce que vous avez toujours voulu savoir sur la prise en charge de l'arrêt cardiaque. Et bien aussi tout ce que vous ne vous étiez jamais demandez sur l'arrêt cardiaque. Comment traiter les arrêt en tracés plat ? Que faire devant un arrêt cardiaque Qu'est ce que la chaîne survie ? Comment faire un massage cardiaque ? Et pourquoi les Bee Gee's ?"
"82","yes","Sciences appliquées / Médecine / Traitements, drogues","","","Douleur","Primum Non Nocere","Ou comment prendre en charge la douleur lors de traitements","rcZoWTFKRnE","Comment défini-t-on la douleur ? Quelles sont les stratégies de lutte contre la douleur ? Et bien d'autres choses encore...."
"83","yes","Sciences appliquées / Médecine / Nutrition","","","Nutrition","Primum Non Nocere","Que mange-t-on et à quoi cela sert-il ?","uK6ofbYxzXI","Bon les régimes c’est bien mais que sait-on des nutriments et de la composition corporelle. Et bien nous allons voir ça dans ce nouvel épisode de Pour Aller Plus Loin"
"84","yes","Sciences appliquées / Médecine / Chirurgie","","","Botox","Primum Non Nocere","Que sont les produits utilisés en chirurgie esthétique et comment fonctionnent-ils ?","8u3TFm-w9_Y","Aujourd'hui on va revenir sur le Botox et sur les produits esthétiques du visage. Enjoie"
"85","yes","Sciences appliquées / Médecine / Anesthésie, réanimation","","","Anesthésie","Primum Non Nocere","Peut-on réellement opérer sans anesthésie, sous hypnose ?","6_RXB_JJWuY","Aujourd'hui on revient sur cette information que vous avez peut être vu passer comme quoi un patient de 88 ans aurait été opéré du coeur sous hypnose. Mais est ce vrai ?"
"86","yes","Sciences appliquées / Médecine / Maladies / Vaccination","","","Cancer","Primum Non Nocere","Présentation du vaccin utilisé dans le cadre du traitement du cancer du poumon","e58JWTXTzqY","Existe-t-il un vaccin contre le cancer du poumon ? Notre Jean-Luc national fait il de la fake news ? vous le saurez en regardant ce petit épisode."
"87","yes","Sciences appliquées / Médecine / Maladies","","","Crétinisme","Primum Non Nocere","D'où vient le mot crétin et pourquoi est-il devenu une insulte ?","dQGJL4RvbFc","Pourquoi parle t on de crétin des alpes et pourquoi le sel de table est iodé !"
"88","yes","Sciences de la nature / Biologie / Zoologie","","","Sommeil des oiseaux","Max Bird","Comment les oiseaux dorment-ils ?","_FnJJkWIG_E","Les oiseaux dorment-ils dans leur nid comme on l'entend dire ? Pas vraiment... Découvrez les incroyables secrets du sommeil... dans la nature !"
"89","yes","Sciences appliquées / Médecine / Hygiène","","","Bise vs poignée de main","Max Bird","Est-il plus sale de faire la bise ou de serrer la main ?","IkOUF6lr__E","Pourquoi certains n'osent pas faire la bise aux malades, alors qu'ils osent leur serrer la main ? Découvrez comment nos habitudes vont souvent à l'encontre du bon sens !"
"90","yes","Sciences de la nature / Biologie / Zoologie","","","Parasites zombie","Max Bird","Présentation de quelques parasites et leur modes de vie","j2D0qnScRVY","Existe-t-il réellement des créatures ""zombies"" agissant contre leur volonté ? Ça se pourrait bien... Découvrez les incroyables capacités hypnotisantes des vers parasites !"
"91","yes","Sciences humaines / Histoire / XXème siècle / Guerre froide","","","Discours de Kennedy à Berlin","Max Bird","Est-ce que Kennedy a vraiment fait une faute lors de son discours à Berlin ?","nt-gRdKobQc","Qu'est-ce que Kennedy a voulu dire par ""Ich bin ein Berliner"" en 63 ? Découvrez l'histoire de la plus célèbre faute d'allemand !"
"92","yes","Sciences de la nature / Biologie / Botanique","","","Fruits & légumes","Max Bird","La tomate est-elle un fruit ou un légume ?","j7IL-E5WlGk","La tomate est un légume ? Non puisque c'est un fruit ? Mais qu'est-ce qu'un légume au fait ? Apprenez la différence une bonne fois pour toutes."
"93","yes","Sciences de la nature / Météorologie","","","Nuage","Max Bird","De quoi sont constitué les nuages ?","EHsiakiLToo","Les nuages, ce n'est pas du gaz ? Ni de la vapeur ? Mais c'est quoi alors ? Du coton ? Partez le découvrir au cœur de nos cieux..."
"94","yes","Insolite / Corps humain","","","Cerveau","Max Bird","Est-ce qu'on utilise vraiment que 10% de notre cerveau ?","hz58kLnqz1c","On entend souvent dire que toute une partie de notre cerveau reste inutilisée... Découvrez comment même les gens qui croient à cette légende utilisent bien tout leur cerveau."
"95","yes","Mythes et traditions","","","Père Noël","Max Bird","D'où vient le mythe du père Noël ?","eADBNALhxeE","Le Père Noël est-il un produit publicitaire de Coca Cola ? La célèbre marque est-elle responsable de ce manteau rouge et blanc ? Découvrez la vérité à propos de ""Santa Claus""..."
"96","yes","Sciences de la nature / Physique / Mécanique des fluides","","","Eau et fluides non-newtoniens","Max Bird","Peut-on marcher sur l'eau ?","kJJ0yTiG89k","Marcher sur l'eau relève du miracle, c'est bien connu, et pourtant... Découvrez comment il est possible de défier les lois de la physique !"
"97","yes","Insolite / Corps humain","","","Somnambulisme","Max Bird","Peut-on réveiller un somnambule quand il dort ?","ucddttjEULw","Que se passe-t-il quand on réveille un somnambule ? Est-ce dangereux ? Vraiment ? Bon, dans le doute..."
"98","yes","Sciences de la nature / Biologie / Zoologie","","","Mémoire des poissons","Max Bird","Le poisson rouge a-t-il vraiment 3 secondes de mémoire ?","xs5vRvwoKlY","Un poisson peut vivre dans un tout petit espace sans s'ennuyer ? Bien sûr, c'est facile quand on n'a que 3 secondes de mémoire ! A moins que..."
"99","yes","Sciences de la nature / Paléontologie","","","Vélociraptor","Max Bird","A quoi ressemblait le vélociraptor ?","xWhcv6vZ97A","Ils sont quand même super bien faits ces raptors dans Jurassic Park ! Mais qu'est-ce que les fossiles nous permettent vraiment de savoir sur ces animaux disparus ? Découvrez la vérité à propos de la star des dinosaures !"
"100","yes","Insolite / Corps humain","","","Hymen féminin","Max Bird","Les filles saignent-elles la première fois ? ","IRtm7Ca34rY","Comment sait-on qu'une femme est vierge lors du premier rapport ? Parce qu'elle saigne ? Découvrez combien cet argument est infondé."
"101","yes","Sciences de la nature / Biologie / Zoologie","","","Caméléon","Max Bird","Pourquoi les caméléons changent-ils de couleur ? ","RWynjWz99bo","Être caméléon c'est changer d'aspect à sa guise, c'est s'adapter à n'importe quelle situation. Vraiment ? Découvrez comment le monde se trompe au sujet de ces lézards."
"102","yes","Sciences de la nature / Espace","","","Corps et vide interstellaire","Max Bird","Que se passerait-il si on se retrouvait dans l'espace sans combinaison ?","_D5_QZa7ZtE","Qu'arrive-t-il à notre corps s'il se retrouve dans le vide de l'espace ? Explose-t-on ? Gèle-t-on ? Découvrez comment la science-fiction nous a induit en erreur...!"
"103","yes","Sciences humaines / Histoire / XXème siècle","","","Malédiction de Toutânkhamon","Max Bird","Qu'en est-il de la supposée vengeance du pharaon Toutânkhamon ?","yW7A8B2uOjo","Toutânkhamon et sa malédiction ont fait les gros titres des journaux et ont inspiré de nombreux artistes, mais qu'en est-il vraiment ? Découvrez la véritable histoire de la vengeance du pharaon..."
"104","yes","Sciences humaines / Archéologie","Sciences humaines / Histoire / XXème siècle","","Toutânkhamon","Les Revues du Monde","Retour sur la malédiction de Toutânkhamon","6MBkkmgb74s","Les Revues du Monde, pour tous les curieux ! Dans les sables enfouis, une incroyable histoire nous attend, celle de la fameuse malédiction de Toutânkhamon... Vous saurez toute la vérité sur cette incroyable affaire du 20ème siècle !"
"105","yes","Insolite / Corps humain","","","Grain de beauté","Max Bird","Est-il dangereux de s'écorcher un grain de beauté ?","O6WN2nNWJJk","Tout est cancérigène de nos jours, mais s'entailler un grain de beauté, ça, c'est vraiment risqué... HAHAHA ! Bon... Voyons ce qu'il en est réellement."
"106","yes","Sciences de la nature / Biologie / Zoologie","","","Pic vert","Max Bird","Pourquoi les pics tambourinnent-ils sur des poteaux en métal ?","VVw5P_oANE0","Toc toc toc toc TOC TOC TOCtocTOCTOCtoctocTOOOOC TOCTOCTOC TOCTOCTOOOOC !"
"107","yes","Insolite / Corps humain","","","Faire craquer ses articulations","Max Bird","Faire craquer ses doigts provoque-t-il de l'arthrite ?","oIpbj3DdpCg","Ne fais pas craquer tes doigts ! Plus tard tu auras de l'arthrite ! ...Vraiment ? Sur quoi est fondée cette légende urbaine ? Et, au fait, quelle est l'origine de ce bruit ?"
"108","yes","Sciences de la nature / Biologie / Botanique","","","Plantes carnivores","Max Bird","Comment vivent les plantes carnivores ?","CTW4692y39A","Avoir une plante carnivore chez soi si on n'a pas de mouches c'est un problème ? Que va-t-elle manger ? Certaines espèces s'attaquent-elles à l'homme ? Allez, levons le voile sur ces végétaux fascinants !"
"109","yes","Sciences de la nature / Biologie / Zoologie","","","Le rouge et le taureau","Max Bird","Les taureaux sont-ils attirés par le rouge ?","YrPVqrSZrZY","Pourquoi les taureaux n'aiment-ils pas le rouge ? Mais, au fait, c'est vrai ça qu'ils n'aiment pas le rouge ? Plongez dans la complexité du regard bovin..."
"110","yes","Sciences de la nature / Paléontologie","","","Extinction des dinosaures","Max Bird","Les dinosaures ont-ils vraiment disparu ?","qcejX_11UUk","Les dinosaures ont-ils vraiment disparu ?"
"111","yes","Société / Sexualité","","","Homosexualité","Max Bird","Explications autour de l'homosexualité","Ad5Lxf_kKRU","En Tchétchénie, en ce moment, on enferme et torture les homosexuels."
"112","yes","Insolite / Corps humain","","","Urine et piqûre de méduse","Max Bird","Que faire en cas de brûlure de méduse ?","guqCzdIZC7I",""
"113","yes","Insolite / Corps humain","","","Roux","Max Bird","Les roux vont-ils disparaître ?","DofWZW2l5Hc",""
"114","yes","Sciences appliquées / Médecine / Maladies","","","Attraper froid","Max Bird","Peut-on tomber malade à cause du froid ?","4bM4I1_B7E4",""
"115","yes","Sciences humaines / Histoire / Antiquité / Antiquité romaine","","","Gladiateurs","Max Bird","Présentation de la gladiature","CrgdCNSwzIA",""
"116","yes","Sciences humaines / Archéologie","Sciences humaines / Histoire / Antiquité / Antiquité romaine","","Gladiateurs","Les Revues du Monde","Qu'est-ce que l'archéologie expérimentale peut nous apprendre sur la gladiature ?","3_8Qgb4fgaQ","Aujourd'hui nous allons aborder le thème de l'archéologie expérimentale, au travers de différents exemples...."
"117","yes","Sciences de la nature / Biologie / Zoologie","","","Chauve-souris","Max Bird","Les chauve-souris sont-elles aveugles ? ","cVfqF60s9Po",""
"118","yes","Sciences appliquées / Médecine / Physiologie","","","Hydrocution","Max Bird","Peut-on se baigner en pleine digestion ?","PTQsfmrKeYQ",""
"119","yes","Ecologie","","","Guyane","Max Bird","L'or en Guyane est-il une chance pour la région ?","tGwUjqDHLqg","COUP DE GUEULE Il est grand temps que le gouvernement respecte sa promesse de ne plus reléguer l'écologie au tout dernier plan. Le projet minier Montagne d'Or est une aberration qui risque de voir le jour malgré le combat acharné des Guyanais depuis de longs mois."
"120","yes","Insolite / Corps humain","","","Carottes et vision","Max Bird","Manger des carottes améliore-t-il la vue ?","uI0tmxA-Pfg",""
"121","yes","Ecologie / Biodiversité","","","Papier","Max Bird","L'utilisation du papier menace-t-il les forêts ?","Gtumgyddbb8",""
"122","yes","Sciences appliquées / Médecine / Traitements, drogues","","","Suppositoires","Max Bird","Comment mettre correctement un suppositoire ?","jdwA4iC5v78",""
"123","yes","Sciences de la nature / Biologie / Zoologie","","","Moustiques","Max Bird","Les moustiques sont-ils attirés par la lumière ?","LIBu-g1wogY",""
"124","yes","Divertissement / Cinéma","","","Classement au box-office","Max Bird","Analyse du classement au box-office","Cm1QngjOkso",""
"125","yes","Sciences de la nature / Biologie / Zoologie","","","Nourriture des oiseaux","Max Bird","Les oiseaux mangent-ils peu ?","GzkNuagTV1g",""
"126","yes","Sciences de la nature / Biologie / Zoologie","","","Piranhas","Max Bird","Les piranhas mangent-ils des humains ?","-ERr_jZofQE",""
"127","yes","Mythes et traditions","","","Halloween","Max Bird","D'où vient Halloween ?","V5jHsfJ-kVw",""
"128","yes","Sciences de la nature / Biologie / Zoologie","","","Fourmis","Max Bird","Les fourmis obéissent-ils à leur reine ?","9JMJyFrvHhQ",""
"129","yes","Sciences de la nature / Paléontologie","","","Dilophosaure","Max Bird","A quoi ressemblait ce dinosaure apparaissant dans Jurassic park ?","nVl2tKiPSNI",""
"130","yes","Divertissement / Jeux vidéos","","","Violence et jeux vidéos","Max Bird","Les jeux vidéo rendent-ils violents ?","afh-9EpkS2g",""
"131","yes","Insolite / Corps humain","","","Pénis","Max Bird","Peut-on agrandir son pénis ?","zDMgrZeA6OY",""
"132","yes","Sciences de la nature / Biologie / Zoologie","","","Insectes et araignées","Max Bird","Quelle différence entre les insectes et les araignées ?","woRAvnkmdZg",""
"133","yes","Insolite / Corps humain","","","Poils","Max Bird","Se raser rend-il les poils plus épais ?","_ehRWgOUsPw",""
"134","yes","Société","","","Viol","Max Bird","Les vêtements que l'on porte modifient-ils le risque de se faire violer ?","8oGNE-Ij-gs",""
"135","yes","Ecologie / Changement climatique","","","Changement climatique","Max Bird","L'homme est-il responsable du changement climatique","GofLYMzKzv4",""
"136","yes","Sciences de la nature / Biologie / Zoologie","","","Chats & chiens","Max Bird","Les chats et les chiens se détestent-ils vraiment ?","TUza64uAsw0",""
"137","yes","Sciences de la nature / Biologie / Zoologie","Mythes et traditions / Animaux fantastiques","","Dragons","DirtyBiology","Est-ce que les dragons pourraient exister ?","fmByrcEhj-Y",""
"138","yes","Sciences de la nature / Biologie / Sexe","","","Types de spermatozoïdes","DirtyBiology","Présentation de différents types de spermatozoïdes","IlyLAuvtIjo",""
"139","yes","Sciences de la nature / Biologie / Comportements","","","GIF et émotions","DirtyBiology","Pourquoi aiment-on les GIFs ?","OD1nwi4kvXM",""
"140","yes","Sciences de la nature / Biologie / Epidémies","","","WoW et épidémie","DirtyBiology","Comment les jeux en ligne peuvent être utilisés pour étudier la propagation des épidémies ?","2Yq-I4JRH7s",""
"141","yes","Sciences de la nature / Biologie / Evolution","","","Obésité en Polynésie","DirtyBiology","Pourquoi les polynésiens ont-ils autant de problèmes d'obésité ?","vrRUZAewUXM",""
"142","yes","Insolite / Corps humain","","","Corps face à l'eau froide","DirtyBiology","Comment notre corps réagit-il lorsqu'il est plongé dans l'eau froide ?","18-VT9wwEyU",""
"143","yes","Sciences de la nature / Biologie / Evolution","Divertissement / Jeux vidéos","","Evolution chez les Pokémon","DirtyBiology","Peut-on comprendre l'évolution en étudiant les pokémons ?","OcKfWW7sAMk",""
"144","yes","Sciences de la nature / Biologie / Zoologie","","","Roues","DirtyBiology","Pourquoi n'y a-t-il pas d'animaux à roues ?","LUWkaZkosY0",""
"145","yes","Divertissement","","","Besoin de fiction","DirtyBiology","Pourquoi aime-t-on tant les histoires ?","Gkc7euz7Y74",""
"146","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences de la nature / Biologie / Neuroscience","","Zombie réel","DirtyBiology","Comment fabriquer son propre zombie en s'inspirant de l'histoire et des connaissances anatomiques ?","cbZ7SWYCBSY",""
"147","yes","Sciences de la nature / Biologie / Botanique","","","Fruits","DirtyBiology","Que sont les fruits d'une plante ?","bovZt3bHcmg",""
"148","yes","Insolite / Et si... ?","","","Dragons","DirtyBiology","Que faudrait-il pour qu'un dragon crache du feu ?","vpmrR7HBNh8",""
"149","yes","Sciences de la nature / Biologie / Sexe","","","Pénis","DirtyBiology","A quoi sert un pénis ?","lcD3e7fhwZE",""
"150","yes","Sciences appliquées / Intelligence artificielle","","","Singularitarisme","DirtyBiology","Qui sont les singularitaristes ?","JdxfhMbSwL0",""
"151","yes","Insolite / Et si... ?","","","Nature rebellée","DirtyBiology","Que se passerait-il si la nature se retournait contre l'être humain ?","bHc-xz1yNUs",""
"152","yes","Sciences de la nature / Biologie / Sexe","","","Consanguinité","DirtyBiology","Quel niveau de consanguinité est problématique pour la descendance ?","onbPjqSOAPE",""
"153","yes","Sciences de la nature / Biologie / Zoologie","","","Zèbres","DirtyBiology","Pourquoi les zèbres sont-ils rayés ?","R4wJb2O0dWw",""
"154","yes","Sciences de la nature / Biologie / Comportements","","","Deuil","DirtyBiology","Comment le numérique peut-il accompagner le deuil ?","IgsTTcUCETU",""
"155","yes","Sciences humaines / Histoire / Méthodes","Société","","Prédire les vagues de violences","DirtyBiology","Peut-on prédire l'histoire et en particulier les épisodes de violence aux USA ?","vKRkba_hTKU",""
"156","yes","Sciences de la nature / Biologie / Neuroscience","","","Cerveau et électrodes","DirtyBiology","Peut-on contrôler un cerveau en le stimulant avec des électrodes ?","g9Is8gOuRpw",""
"157","yes","Insolite / Et si... ?","","","Godzilla","DirtyBiology","Godzilla pourrait-il exister ?","uRvhBz-88m8",""
"158","yes","Sciences de la nature / Espace","","","Fusées","DirtyBiology","Comment pourrait-on envoyer l'humanité dans l'espace ? - partie 1","6RpprimoniY",""
"159","yes","Sciences de la nature / Espace","","","Fusées","DirtyBiology","Comment pourrait-on envoyer l'humanité dans l'espace ? - partie 2","PBxpP8R21wA",""
"160","yes","Sciences de la nature / Paléontologie","","","Sexe des dinosaures","DirtyBiology","Comment les dinosaures faisaient-ils du sexe ?","P5NB1H5pCHk",""
"161","yes","Sciences de la nature / Biologie / Comportements","","","Sagesse des foules","DirtyBiology","De la sagesse peut-elle émerger d'une foule ?","xtuh5zTa7mQ",""
"162","yes","Sciences de la nature / Biologie / Evolution","","","Humanité","DirtyBiology","Qu'est-ce qu'un humain ?","940mJse7H5Q",""
"163","yes","Sciences de la nature / Espace","","","Fusées","DirtyBiology","Comment pourrait-on envoyer l'humanité dans l'espace ? - partie 3","noADnHKyRmc",""
"164","yes","Sciences de la nature / Biologie / Evolution","","","Ours blanc","DirtyBiology","Les ours blanc vont-ils changer de couleur avec le changement climatique ?","ZcnmKAbrYU0",""
"165","yes","Sciences de la nature / Biologie","","","Chimères","DirtyBiology","Le non-soi en soi","lqWvZSZBTy8",""
"166","yes","Sciences de la nature / Biologie / Zoologie","","","Zèbres","DirtyBiology","Les zèbres ont-ils une personnalité ?","sVTiRBfZiI4",""
"167","yes","Sciences de la nature / Biologie","","","Bali et Timor","DirtyBiology","D'où proviennent les différences de richesse entre Bali et le Timor oriental ?","zb98HSJVHWk",""
"168","yes","Sciences de la nature / Biologie / Evolution","","","Humanité","DirtyBiology","Y a-t-il des différences génétiques entre populations ?","7NxgBPoBMT0",""
"169","yes","Sciences de la nature / Biologie / Zoologie","Sciences humaines / Histoire / Antiquité","","Lions en Grèce","DirtyBiology","Y avait-il des lions en Grèce antique ?","KWWoDoMKiuY",""
"170","yes","Sciences de la nature / Biologie / Sexe","","","Compétition spermatique","DirtyBiology","Que peut nous apprendre la pornographie ?","3MGzSlcLmoc",""
"171","yes","Insolite / Et si... ?","","","Déplacer la Terre","DirtyBiology","Coment déplacer la planète ?","nsrLkKthYDw",""
"172","yes","Sciences de la nature / Paléontologie","","","Régime alimentaire au Paléolithique","PBS Eons","Que mangeaient nos ancêtres ?","QL5VCs7scbU",""
"173","yes","Sciences de la nature / Monde de la recherche","Société / Esprit critique","","Fake news en science","DirtyBiology","Le bullshit en science","lGG6s5x9FQs",""
"174","yes","Sciences humaines / Archéologie","Société / Esprit critique","","Fake news en archéologie","Les Revues du Monde","Retour sur deux ""fake news"" en archéologie","55u-vBtTNIM","Aujourd'hui, partons à la rencontre de deux histoires de découvertes archéologiques qui ont emballé toute la presse, et explications de cet engouement. Entre une cité maya découverte par un adolescent de 15 ans et le poignard extraterrestre de Toutankhamon, retour sur ces news archéologiques qui ont défrayé la chronique."
"175","yes","Société / Science citoyenne","","","Participation citoyenne à la science","DirtyBiology","Comment peut-on participer aux études scientifiques ?","hEBZ0chwtAk",""
"176","yes","Société / Démographie","","","Démographie et surpopulation","DirtyBiology","Comment résoudre le problème de surpopulation ?","QbZXSpt0kOM",""
"177","yes","Ecologie / Biodiversité","Sciences humaines / Economie","","Valeur de la nature","DirtyBiology","Combien vaut la nature ?","-IJnr0nUpVo",""
"178","yes","Sciences de la nature / Biologie / Génétique","Philosophie / Philosophie des sciences","","Beauté de la science","DirtyBiology","Quelle beauté dans la science ?","yGL_LJosToY",""
"179","yes","Sciences humaines / Archéologie","Sciences de la nature / Biologie / Génétique","","Méthodes en archéologie","DirtyBiology","Présentation de quelques méthodes nouvelles en archéologie ","-MoN1sHzfxg",""
"180","yes","Société / Esprit critique","","","Consensus scientifique","DirtyBiology","Comment se construit une théorie scientifique ?","wZyx5EEfUSE",""
"181","yes","Sciences de la nature / Biologie / Comportements","","","Apprentissage","DirtyBiology","Que dit la science au sujet des révisions ?","Sxy6ye_QzPg",""
"182","yes","Sciences de la nature / Biologie / Sexe","","","Vagin","DirtyBiology","Présentation de la diversité des vagins dans la nature","jfxla6Ze5ww",""
"183","yes","Sciences de la nature / Biologie / Zoologie","","","Perceptions des animaux","DirtyBiology","Peut-on ressentir ce que ressentent les animaux ?","vCEUxvz4Egs",""
"184","yes","Ecologie / Biodiversité","Philosophie / Philosophie morale","","Douleur et biodiversité","DirtyBiology","Quel lien entre bien-être et biodiversité ?","w3hTp7v2rqc",""
